Job,Task Characteristic,Column,Value
First-Line Supervisors of Gambling Services Workers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,6
"Hotel, Motel, and Resort Desk Clerks",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Insurance Sales Agents,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Painting, Coating, and Decorating Workers",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Parking Attendants,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,4
Retail Salespersons,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Self-Enrichment Teachers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Social and Community Service Managers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Telemarketers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
"Property, Real Estate, and Community Association Managers",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Exercise Physiologists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Physical Therapists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
First-Line Supervisors of Office and Administrative Support Workers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,6
Gambling and Sports Book Writers and Runners,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Speech-Language Pathologists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Business Intelligence Analysts,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Childcare Workers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,5
"Fraud Examiners, Investigators and Analysts",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Labor Relations Specialists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Maids and Housekeeping Cleaners,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,3
Public Safety Telecommunicators,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Search Marketing Strategists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
First-Line Supervisors of Non-Retail Sales Workers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,7
Funeral Home Managers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,6
Historians,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Library Science Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Speech-Language Pathology Assistants,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Obstetricians and Gynecologists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Chemistry Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,6
"Special Education Teachers, Secondary School",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Animal Caretakers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Animal Trainers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Biostatisticians,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
"Middle School Teachers, Except Special and Career/Technical Education",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"News Analysts, Reporters, and Journalists",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Orderlies,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Personal Care Aides,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Statistical Assistants,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Tax Preparers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
"Law Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Park Naturalists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Passenger Attendants,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Psychiatric Aides,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Stockers and Order Fillers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Correctional Officers and Jailers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Directors, Religious Activities and Education",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Elementary School Teachers, Except Special Education",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Food Service Managers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Freight Forwarders,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Healthcare Social Workers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Intelligence Analysts,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Laborers and Freight, Stock, and Material Movers, Hand",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Medical and Health Services Managers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Office Clerks, General",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,4
Ophthalmic Medical Technicians,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Physician Assistants,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Social and Human Service Assistants,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Tapers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Tutors,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Administrative Law Judges, Adjudicators, and Hearing Officers",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Cooks, Institution and Cafeteria",Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,5
Court Reporters and Simultaneous Captioners,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Floral Designers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,6
Gambling Cage Workers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
"Graders and Sorters, Agricultural Products",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
"Recreation and Fitness Studies Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Actuaries,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Advertising and Promotions Managers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Climate Change Policy Analysts,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Concierges,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Cytotechnologists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Exercise Trainers and Group Fitness Instructors,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,4
Genetic Counselors,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Marketing Managers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Naturopathic Physicians,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Nurse Practitioners,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Survey Researchers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Transportation Security Screeners,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
"Agents and Business Managers of Artists, Performers, and Athletes",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Claims Adjusters, Examiners, and Investigators",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Couriers and Messengers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,5
"Court, Municipal, and License Clerks",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Driver/Sales Workers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,4
"Human Resources Assistants, Except Payroll and Timekeeping",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Industrial-Organizational Psychologists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Judges, Magistrate Judges, and Magistrates",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Landscaping and Groundskeeping Workers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,4
Payroll and Timekeeping Clerks,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Proofreaders and Copy Markers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Psychiatrists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Real Estate Brokers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Reservation and Transportation Ticket Agents and Travel Clerks,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Social Science Research Assistants,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Ushers, Lobby Attendants, and Ticket Takers",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,4
Executive Secretaries and Executive Administrative Assistants,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Accountants and Auditors,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Communications Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Eligibility Interviewers, Government Programs",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Market Research Analysts and Marketing Specialists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Nurse Midwives,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Poets, Lyricists and Creative Writers",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,4
Preventive Medicine Physicians,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Public Relations Specialists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,7
Receptionists and Information Clerks,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Actors,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Advertising Sales Agents,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Barbers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,4
"Business Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Clinical and Counseling Psychologists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Dancers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
"Educational, Guidance, and Career Counselors and Advisors",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Locker Room, Coatroom, and Dressing Room Attendants",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Mental Health Counselors,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Models,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,4
Postal Service Mail Carriers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Adapted Physical Education Specialists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Advanced Practice Psychiatric Nurses,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Customs Brokers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Dietitians and Nutritionists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Human Resources Managers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,7
"Mathematical Science Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Ophthalmic Medical Technologists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
"Umpires, Referees, and Other Sports Officials",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,4
"Credit Authorizers, Checkers, and Clerks",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Dermatologists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Equal Opportunity Representatives and Officers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Flight Attendants,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Library Assistants, Clerical",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Loan Officers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Pharmacists,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,7
"Securities, Commodities, and Financial Services Sales Agents",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Slaughterers and Meat Packers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,5
Telephone Operators,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Clergy,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Credit Analysts,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Epidemiologists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Massage Therapists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Sociologists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Treasurers and Controllers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Bill and Account Collectors,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Family Medicine Physicians,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
First-Line Supervisors of Retail Sales Workers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Gambling Dealers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
New Accounts Clerks,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Compensation, Benefits, and Job Analysis Specialists",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,4
Economists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Fundraisers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Orthoptists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Statisticians,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Legal Secretaries and Administrative Assistants,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Marriage and Family Therapists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Medical Transcriptionists,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,5
Paralegals and Legal Assistants,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Psychology Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
School Psychologists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Tour Guides and Escorts,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Financial Examiners,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Bookkeeping, Accounting, and Auditing Clerks",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Budget Analysts,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
"Child, Family, and School Social Workers",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
"Education Administrators, Postsecondary",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Education Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
"English Language and Literature Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Foreign Language and Literature Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Investment Fund Managers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Kindergarten Teachers, Except Special Education",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Library Technicians,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Skincare Specialists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Talent Directors,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,6
"Arbitrators, Mediators, and Conciliators",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Environmental Economists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Insurance Underwriters,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Personal Financial Advisors,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Farm Labor Contractors,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,7
Financial Managers,Initiated Interdependence (others depend on you),Work Context - Interpersonal Relationships,7
Human Resources Specialists,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Insurance Claims and Policy Processing Clerks,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
Judicial Law Clerks,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Lawyers,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Loan Interviewers and Clerks,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
"Philosophy and Religion Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
"Preschool Teachers, Except Special Education",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,5
"Sociology Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Compensation and Benefits Managers,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
Credit Counselors,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,7
Nannies,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Political Scientists,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Brokerage Clerks,Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
"History Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,6
"Political Science Teachers, Postsecondary",Initiated Interdependence (others depend on you),Work Context - Structural Job Charateristics,6
Billing and Posting Clerks,Initiated Interdependence (others depend on you),Work Activities - Interacting with Others,5
Allergists and Immunologists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Chiropractors,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Education and Childcare Administrators, Preschool and Daycare",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Family Medicine Physicians,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Interviewers, Except Eligibility and Loan",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Medical Assistants,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Obstetricians and Gynecologists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Ophthalmologists, Except Pediatric",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Patient Representatives,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Receptionists and Information Clerks,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Reservation and Transportation Ticket Agents and Travel Clerks,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Spa Managers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Special Education Teachers, Preschool",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Speech-Language Pathology Assistants,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Telemarketers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Amusement and Recreation Attendants,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Cardiovascular Technologists and Technicians,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Child, Family, and School Social Workers",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Dental Hygienists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Educational, Guidance, and Career Counselors and Advisors",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
First-Line Supervisors of Construction Trades and Extraction Workers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
First-Line Supervisors of Personal Service Workers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Gambling Cage Workers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Hotel, Motel, and Resort Desk Clerks",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Insurance Appraisers, Auto Damage",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Loan Interviewers and Clerks,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Media Technical Directors/Managers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Occupational Therapy Aides,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Orthodontists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Parts Salespersons,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Pediatricians, General",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Physical Therapist Assistants,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Physical Therapists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Postmasters and Mail Superintendents,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Probation Officers and Correctional Treatment Specialists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Public Safety Telecommunicators,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Quality Control Systems Managers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Radiation Therapists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Real Estate Sales Agents,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Sports Medicine Physicians,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Tellers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Airfield Operations Specialists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Bill and Account Collectors,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Correctional Officers and Jailers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Counter and Rental Clerks,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Dispatchers, Except Police, Fire, and Ambulance",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Fire Inspectors and Investigators,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Human Resources Assistants, Except Payroll and Timekeeping",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Media Programming Directors,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Meeting, Convention, and Event Planners",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Mental Health Counselors,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Neurologists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Nurse Midwives,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Ophthalmic Medical Technicians,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Orderlies,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Physical Therapist Aides,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Physician Assistants,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Shampooers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Special Education Teachers, Middle School",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Special Education Teachers, Secondary School",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Substance Abuse and Behavioral Disorder Counselors,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Switchboard Operators, Including Answering Service",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Telephone Operators,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Agents and Business Managers of Artists, Performers, and Athletes",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Aircraft Cargo Handling Supervisors,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Athletic Trainers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Computer User Support Specialists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Concierges,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Credit Authorizers, Checkers, and Clerks",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Dermatologists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
First-Line Supervisors of Police and Detectives,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Flight Attendants,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Food Service Managers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Gambling Change Persons and Booth Cashiers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Lodging Managers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Middle School Teachers, Except Special and Career/Technical Education",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
New Accounts Clerks,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Occupational Therapy Assistants,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Orthotists and Prosthetists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Pharmacists,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Police and Sheriff's Patrol Officers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Procurement Clerks,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Radiologic Technologists and Technicians,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Registered Nurses,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Retail Salespersons,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Social and Human Service Assistants,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
"Ushers, Lobby Attendants, and Ticket Takers",Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Veterinarians,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Writers and Authors,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Brokerage Clerks,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Cashiers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Customer Service Representatives,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
Customs and Border Protection Officers,Received Interdependence (your work depends on others),Work Context - Interpersonal Relationships,7
